MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RISK_MM
8.9,27.1,0,4.4,12.7,35,6,11,63,37,1018.1,1012.5,1,2,15.8,25,0
10.1,29.9,0,6.8,8.8,41,2,13,63,36,1012.6,1010.2,1,8,17.4,29.1,5.4
15.5,21.1,5.4,6.4,0.9,31,6,7,93,86,1010.1,1008.6,8,8,16.6,20,1.4
10.8,21.7,1.4,2.8,10.6,48,13,20,59,40,1017.6,1016.8,1,4,15.3,20.8,0
7.5,20.9,0,6.6,8.7,39,13,20,61,43,1020.6,1018.3,6,7,15.3,19.8,0
12.8,21,0,6.4,0.8,22,7,6,72,54,1018,1015.6,8,8,16.1,20,3.4
12.6,23.1,3.4,1.6,2.3,30,4,13,97,74,1015.8,1014.1,8,7,15.3,20.4,6.4
14.8,29.5,6.4,1.8,8.1,41,6,22,81,48,1012.9,1008.3,2,7,21,28.2,11
19.9,22,11,4.4,5.9,76,41,30,92,62,996.5,996.8,8,3,20.6,19.6,17.4
9.2,20.4,17.4,7.8,10.2,39,9,20,59,49,1009.5,1009.1,1,7,14.9,18.8,0
12.4,24.4,0,6.2,12.1,44,7,13,69,43,1012.8,1009.7,6,4,15,22.5,3.4
11.3,21.7,3.4,8.2,5.6,41,11,11,67,52,1020.4,1019.1,8,3,12.4,21,0
9.8,26.3,0,5.2,13,41,6,19,63,35,1023.2,1018,1,1,15.3,23.9,0
14.3,26.7,0,7.2,7.1,65,7,48,68,64,1017.3,1014.3,7,7,19.8,19,14.4
15.1,28.3,14.4,8.8,13.2,28,6,13,73,44,1016.8,1013.4,1,5,18.3,27.4,0
14.4,31.6,0,6.6,13.6,30,6,7,65,30,1017.1,1014.2,0,2,21.5,30.3,0
15.4,35,0,9.6,13,39,6,22,55,18,1017.4,1015,1,1,23.4,34.3,0
13.8,33.5,0,11.4,13.6,31,7,9,44,20,1019.2,1015.6,0,1,21.9,32.2,0
13.6,34.2,0,8.8,12.8,35,2,11,50,20,1015.8,1011.6,7,6,21.9,31.8,0
14.3,35,0,7.6,10.5,41,2,9,43,14,1012.6,1008.7,0,1,23,33.6,0
15.9,23.4,0,12.6,2.2,50,20,24,69,55,1016.8,1016.3,8,7,19.2,22.3,0
16.7,25.3,0,6.2,12.5,46,24,26,56,45,1016.2,1013,6,7,20.3,23.9,0
12.1,27.5,0,7.4,11.7,35,7,15,69,40,1011.8,1007.4,7,2,18.6,26.8,0
14.3,34.1,0,6.6,10.5,39,6,19,77,34,1006.6,1003.3,1,1,18.9,31.9,0
16.5,33.9,0,9,12.6,39,11,11,60,36,1012.3,1009.5,1,1,20.8,31.3,0
16.5,30.3,0,10,8.1,46,7,9,77,44,1015.7,1013.4,7,1,18.1,28,0
17.5,29.9,0,6.6,8.8,43,13,11,74,45,1018.5,1015.9,8,1,19.3,27.9,0
14.7,34.2,0,6.6,12.8,33,6,11,64,25,1017.8,1013.3,1,1,21.3,32.2,0
17.5,35.8,0,9.4,13.3,57,6,19,56,24,1011.8,1006.5,0,1,24.7,34.5,0
20.9,35.7,0,13.8,6.9,50,4,17,61,28,1007.6,1003,7,2,23.6,34,2
17,33.8,2,9,13.5,52,6,24,65,35,1004,1001.8,2,3,23,31.8,0
16,22.8,0,12.4,6,50,13,19,70,57,1012.3,1012.3,8,6,17,21.6,0
15.4,33.8,0,5.2,11.1,35,7,15,70,26,1014.2,1009,7,1,18,31.7,0
17.9,33.2,0,10.4,8.4,59,15,20,58,62,1008.5,1006.1,6,7,24.5,23.5,4.8
15.2,25.1,4.8,6.4,11.6,46,20,28,62,42,1016.8,1015,1,1,17.1,23.9,0
15.1,20.4,0,9.6,0.1,39,17,19,63,55,1017.5,1015.8,8,8,17.8,19.4,18.8
15.3,19.6,18.8,5,0,33,9,13,92,88,1008.7,1006,8,8,18,18.6,12.2
17.2,24.7,12.2,1.4,8.1,50,19,28,80,71,1004.9,1004,7,8,19.4,21.9,0.8
15.9,19.9,0.8,5.6,1.6,48,17,22,73,58,1011.4,1012.1,8,7,17.4,18.6,0
10,22.5,0,4.4,11.6,33,11,7,55,46,1018.7,1016.8,1,2,14.7,22.2,0
9.9,24.4,0,5.8,10.8,28,7,7,60,38,1021.6,1019.2,1,4,16.2,22.7,0
10.3,27.8,0,6.4,9.9,35,6,11,64,29,1021.3,1018.1,3,6,17,26.3,0
15.4,25.7,0,6.8,8.2,41,9,17,67,32,1020.1,1016.9,7,7,17.6,24.6,0
12.7,28.8,0,7.4,9,28,4,7,70,28,1016.5,1012.4,1,5,18.3,28.3,0
13.2,31.3,0,6.6,11.6,46,4,26,71,28,1013.1,1009.5,1,4,19.7,30.7,0
15.3,33.2,0,9.4,13.2,44,4,24,60,18,1013.9,1012,0,1,22.4,32.1,0
17.9,33.9,0,10.4,11.8,46,6,11,72,22,1017.4,1014.6,1,1,19.8,32.3,0
18,34.9,0,9.2,9.9,69,6,13,68,29,1018,1013.7,1,6,22.2,33.1,5.2
17.6,27.8,5.2,10.2,3.6,39,13,13,66,49,1014.6,1012.8,7,8,21.4,26.3,2.2
16,23.8,2.2,5.4,6.2,30,11,11,73,49,1018.9,1017.1,8,7,16.5,22.9,0
14.9,28.8,0,5.8,8.1,30,7,11,71,44,1018.2,1014.5,7,2,19.1,27,0
17.1,29.6,0,5.8,9.2,48,9,17,67,38,1016.7,1012.8,6,7,21.7,29.1,1.8
18.2,22.6,1.8,8,0,33,7,13,92,76,1014.4,1011.5,8,8,18.5,22.1,9
16.8,22.8,9,2.8,0.3,30,7,11,88,71,1010,1007.8,8,8,18.4,21.5,1
13.6,27.4,1,2.8,8,52,6,24,77,41,1002.1,997.5,4,7,18.7,26.5,0
14.5,24.2,0,6.8,5.9,61,11,20,76,76,999.4,998.9,7,7,17.9,20.3,16.2
12.4,19.9,16.2,5.4,5.6,41,7,20,75,58,1007.6,1005,7,7,13.6,18.7,0
10.4,20.9,0,4,8.9,33,15,17,65,51,1007.7,1006.8,6,6,13.8,18.7,0
9.1,23.1,0,5.8,9.6,41,17,13,66,37,1013.6,1011.4,1,7,14,21.4,0
8.9,26,0,5,10.7,31,7,13,74,34,1016.1,1011.7,1,5,14.6,24.2,4.4
14.5,24.2,4.4,6.6,5.9,48,9,17,95,60,1010.8,1006.8,8,5,15.8,22.6,11
12.6,18.2,11,3.2,0.4,30,13,15,81,73,1010,1011,7,8,16.3,16.8,0.2
8.6,24.2,0.2,2.8,12.7,33,11,9,63,37,1017.5,1015.1,1,1,13.7,22,0
10.8,25.2,0,5.6,12.6,35,7,7,69,32,1020.2,1016.7,1,1,15,24.3,0
11.2,26.1,0,7.2,12.6,39,7,19,71,40,1022.9,1020,1,1,15.3,24.7,0
12.1,24.1,0,7.4,10.2,46,9,13,64,46,1025.2,1021.4,7,1,15.4,22.5,0
10.8,25.8,0,6.8,11.7,31,7,11,72,42,1021.3,1017.4,5,4,17.2,24.1,0
11.4,27.1,0,5.6,12.1,33,6,15,69,38,1017.6,1012.8,1,2,16.9,26.1,0
12,28.9,0,7.2,8.2,39,2,9,78,31,1012.2,1009.1,2,7,17.4,28.6,1.8
16.3,24.8,1.8,7.8,3.8,50,4,7,88,56,1011.8,1008.4,7,7,17.5,24,6.6
12.7,28.6,6.6,3.2,8.6,50,NA,28,78,42,1008.3,1002.3,5,5,16.5,27.4,0
12.7,25.1,0,7.8,12.4,46,20,26,57,32,1007.4,1005.4,1,1,15.7,24.5,0
12,23.8,0,10.4,12.4,44,15,30,54,34,1007.9,1007.2,0,1,15.1,22.9,0
11.5,25.9,0,5.2,10.2,44,9,7,70,35,1016.4,1014.3,6,2,15.8,24.3,0
13,28.2,0,5,11.6,44,4,17,74,27,1017.6,1014.4,3,6,17.4,27,0
11.7,27.6,0,7.8,8.1,48,NA,30,74,25,1013.6,1009.1,2,6,17.6,26.8,0
14.8,17.3,0,7.6,0.8,48,13,13,74,78,1010,1009.9,7,7,15.7,15.3,10.4
7.7,18.4,10.4,5.2,12,48,24,17,58,34,1015.5,1014.5,5,1,10.6,16.8,0
4.4,21.8,0,6.2,12.1,35,15,15,60,31,1020.8,1019.3,1,1,11.7,20,0
7.4,24.4,0,6.2,11.6,35,7,11,65,37,1026.3,1023.2,0,2,12.2,22.1,0
8.3,27.3,0,5.6,10.1,35,6,9,78,28,1025.4,1020.4,1,1,13.8,25.5,0
10.1,28.2,0,6,7.3,39,6,7,72,28,1021.1,1018.2,1,7,15.6,27,0
12,27.6,0,6,11,46,7,6,69,35,1025.5,1022.2,1,1,15.7,26.2,0
12.9,31.8,0,6,11.3,41,6,9,76,24,1023.9,1019.3,2,3,17.4,30,0
10.8,29.2,0,8.4,7.5,50,NA,9,56,34,1021.6,1017.7,0,7,17.5,27.7,3
9.5,27.4,3,4.8,11.5,24,6,9,79,39,1024.7,1020.7,1,7,14,24.9,0
12.1,27.8,0,5,11.5,41,7,11,66,33,1024.8,1023.1,0,1,17.8,27,0
12.5,31.7,0,6.6,11.2,24,6,9,74,28,1024.9,1020.4,1,1,17.2,30.1,0
13.9,34.7,0,6.4,8.5,46,11,7,50,18,1022.8,1019.3,0,3,20.2,32.7,0.2
13.3,31.7,0.2,7.8,11,44,6,28,80,23,1021.6,1017.6,2,5,17.5,30.7,0
13.2,33.1,0,8.6,9.7,39,7,7,91,18,1020.9,1017.7,7,1,16.1,31.7,0
12.3,33.8,0,7.2,11.3,22,9,13,57,15,1022.6,1019.1,0,1,17.9,32.7,0
13.8,35.2,0,6.4,11.2,48,7,4,47,15,1022.5,1019.3,5,2,21.4,34.1,0
11.3,32.3,0,9.4,11.4,28,4,6,44,17,1024.3,1020.7,5,2,18.2,30.5,0
11.7,30.2,0,7.8,11.2,33,9,13,73,22,1024.3,1020.6,1,0,17.7,28.8,0
12.5,29.9,0,5.8,10.7,43,0,19,76,30,1022.7,1018.8,0,1,16.8,29.2,0
15.1,26.2,0,9,9.8,31,4,15,59,48,1022.1,1018.7,1,4,19.7,24.5,0
11.5,29.3,0,5.2,8,46,0,26,76,35,1013.8,1009.4,7,7,17.1,27.6,0
13,14.8,0,8.2,0,30,9,17,77,62,1017.4,1019.3,7,8,13.3,13.9,0
11.6,19.6,0,2.8,1.6,33,6,17,71,64,1023.6,1021.8,7,8,14,17.9,0
12.8,24.9,0,2.4,6.2,30,6,7,76,44,1023.2,1019.3,7,6,15.5,24.2,0.6
15.5,22.4,0.6,4.8,1.9,28,6,19,89,68,1018.7,1015.4,8,7,17.1,21.1,6.4
13.1,17.4,6.4,2.8,0,43,11,20,94,93,1010.2,1006.5,8,8,16.4,16.6,19.8
12.6,20.2,19.8,2.6,9.1,46,17,20,76,50,1007.9,1008.4,5,4,15.1,17.4,0
4.4,18.3,0,4.6,9.6,33,7,17,80,36,1014.8,1012.6,1,2,8.4,17.4,0
4.4,18.2,0,3.6,11,31,7,19,78,35,1017.4,1015,1,3,9.2,17.2,0
7.1,18.5,0,3.4,10,57,9,22,90,30,1015.1,1011.3,6,6,8.8,18.2,0
4.2,18.9,0,6.4,10.8,50,6,31,60,34,1011.2,1009.3,3,2,11.2,18.1,0
9.6,18.8,0,6.4,10,57,19,26,54,42,1012.7,1013,2,5,13.1,16.5,0
3.5,21.8,0,6,10.3,22,7,11,72,34,1023.9,1021.2,0,1,8.7,21.2,0
5.3,23.3,0,3.6,5.6,83,2,37,90,26,1018,1010.5,1,8,9.5,22.5,2.6
7,14.3,2.6,9.6,9.7,63,26,33,68,40,1010.3,1012.7,1,3,9.1,13.7,0
0.4,18.9,0,4.8,9.6,22,6,7,77,33,1021.2,1019.1,0,1,5.2,17.6,0
3.2,21.4,0,3.2,10.6,26,7,7,76,27,1025.2,1022.3,0,1,8.2,20.5,0
5.9,21.8,0,2.8,9.3,35,7,11,70,35,1028,1024.1,1,5,12.9,20.8,0
8.1,20.5,0,3.8,7.8,31,11,11,66,48,1027.8,1024,1,5,14.9,19.5,0
6.9,18.9,0,4.2,4.1,39,15,9,68,45,1028.2,1025.4,5,4,13.8,17.8,0
5.6,19.5,0,2.8,6.8,17,9,6,69,49,1025.7,1021.8,6,4,14.3,18.6,0
7.2,22.9,0,2.2,9.5,26,4,6,82,28,1023.1,1019.2,1,1,14,22.2,0
7.1,23.4,0,3.4,10.2,39,2,7,72,29,1021,1016.9,0,1,12.7,22.4,0
6.1,24.1,0,4.6,6.1,35,6,11,75,32,1019.2,1015.8,7,3,11.5,23.7,2
7.1,19.8,2,3.2,7.7,39,13,15,96,56,1018.4,1013.8,5,2,10.7,19.1,5.2
5.6,18,5.2,3.8,9.3,31,9,20,70,40,1020.8,1019.6,1,1,12.4,17.9,0
5.4,20.7,0,3.2,10.8,28,7,9,66,36,1027.2,1023.9,1,2,12.3,20.4,0
6.3,19.3,0,3.4,10.6,31,9,13,65,39,1027.9,1024.4,1,1,12.6,18.8,0
5.3,21,0,4.6,6.3,26,7,7,77,44,1027.2,1023.3,7,2,12,20.4,0
7.9,19.7,0,3.2,8.3,48,17,11,58,43,1027.3,1024.1,3,6,14,19.1,0
8.4,16.1,0,3,4.9,35,13,22,69,51,1029.5,1027.4,6,7,13.6,15.2,0
8.1,18.7,0,4.4,7.1,33,11,30,66,65,1028.2,1024.2,4,7,13.5,15.6,0
2.4,20.6,0,2.8,10.1,30,9,7,77,34,1024.8,1021,1,2,10.6,19.8,0
5.6,18.9,0,3.8,8,33,13,22,79,49,1025.8,1023.5,7,6,12.5,17.7,0
7.5,19,0,4,6.8,26,0,7,74,43,1025.5,1022.2,6,5,12.6,18.1,0
2.5,21.2,0,2,7.9,28,7,9,82,55,1023.7,1019.8,4,4,9.2,17.6,0
5,20.9,0,2,8.9,22,0,7,84,42,1019.9,1014.3,7,6,10.1,20.6,0.2
3.8,21.7,0.2,2.8,6.5,44,2,20,99,34,1011.9,1006.7,7,7,7.9,20.2,0
7.9,18.7,0,5.8,5.8,59,26,31,68,51,1003.2,997.7,6,6,14.4,16.6,7.2
4.3,11.3,7.2,4.4,5.6,57,26,22,75,60,1006.3,1008.1,3,6,7.1,8.8,0.2
-2.1,13.8,0.2,1.8,9.5,22,0,9,69,40,1020.6,1019.6,0,1,6.3,13.2,0
-1.8,14.8,0,1.4,7,28,2,19,80,40,1024.2,1020.5,1,7,5.3,13.9,0
3.8,13.8,0,2.8,0.8,31,6,26,67,54,1020.6,1018.5,7,7,10.5,12.4,0
2.1,17.3,0,1.6,9.2,43,6,28,81,38,1020,1017.3,1,2,8.7,15.9,0
0.5,17.1,0,4,9.4,31,6,13,74,42,1020.8,1017.4,1,1,7.4,16.2,0
-0.9,16.7,0,2.4,9.3,30,2,15,76,42,1022.7,1018.5,5,2,6.2,15.4,0
0.4,19,0,3.4,8.3,39,2,19,76,41,1019.8,1015.8,6,5,7.7,18.5,0
7.5,16.8,0,2.8,3,41,7,26,70,53,1018,1013.8,7,7,12.5,15.4,0
8.3,17.6,0,3.4,9.4,43,17,30,73,43,1015.8,1013.5,1,1,12.4,16.5,0
-0.2,18.1,0,4.4,9.4,24,0,9,80,44,1021.4,1018.9,1,1,6.7,16.9,0
0.1,21,0,2.2,9.2,17,2,9,78,36,1023.2,1020.3,0,1,7.6,20.7,0
1.5,20.9,0,2.4,9.3,20,2,9,80,41,1023.2,1020,1,1,8.4,20.9,0
8.3,17.4,0,2,1.6,20,6,11,80,52,1024.4,1021.5,7,7,13.5,17.2,0
9.4,19.2,0,2.2,7.7,24,4,15,73,47,1024.2,1020.3,7,1,12.1,18.8,0
1.3,19,0,2.2,9.4,30,7,15,87,34,1024.7,1021.4,1,2,7.9,18.6,0
2.2,18.6,0,2,9.2,31,NA,20,84,44,1024.4,1021,1,3,8.5,17.8,0
-0.4,17.9,0,2.4,8.7,33,2,20,80,40,1023.5,1018.7,1,2,6.8,17.7,1.8
4.5,16,1.8,3,4.3,35,9,15,88,69,1017.7,1013.7,7,7,10,15.2,1
7.9,12.3,1,1.8,1.7,52,30,24,68,78,1006.3,1005.9,7,7,11.3,7.3,0.8
4.3,14.1,0.8,1.6,8.8,41,13,26,71,53,1008.4,1008.3,6,6,7.9,13.3,0
-2.7,18.1,0,2.2,9.3,52,0,24,85,36,1017.8,1014.3,1,1,3.5,16.7,0
0.3,17,0,2.2,5.6,31,6,24,99,52,1021.9,1018.6,8,1,3.8,16.2,0
3.8,17.4,0,2.6,7.3,24,2,7,81,47,1024.5,1022.9,6,2,8,16.6,0
2.4,14.7,0,2.6,9.2,20,7,6,74,43,1030.4,1026,1,1,5.9,13.8,0
1.2,14.8,0,2.4,6.7,17,11,6,81,49,1028.5,1024.8,7,1,5.3,14.5,0
1.2,14.5,0,1.2,8.9,17,6,6,74,43,1026.7,1023.5,0,1,6.5,13.9,0
-0.3,17.5,0,1.6,8.4,39,6,15,81,48,1025.5,1021.8,1,5,6.2,17.2,3.8
4.7,18.5,3.8,2,5.1,22,6,6,99,50,1026.6,1023.1,7,4,7,17.9,5.2
4.9,18.1,5.2,1.2,8.5,22,0,13,93,55,1025.7,1022.3,1,1,8.9,17.7,0
1.4,16.8,0,1.6,8.2,20,0,6,91,50,1027.2,1024.7,1,4,6.2,16.3,0.2
2.2,17.5,0.2,1.2,8.5,20,7,7,92,45,1032.1,1029.6,2,1,5.5,17.3,0
-0.1,18,0,2,8.6,NA,2,15,83,46,1033.2,1028.7,1,1,5.6,17.4,0
-0.9,18.5,0,2.2,8.9,22,0,7,84,38,1030.2,1027.4,2,3,4.7,18.2,0
0.6,14,0,2.2,2.7,17,NA,7,99,67,1032.3,1028.9,7,7,4.6,13.9,0
4.6,15.7,0,1,0.6,15,6,6,85,67,1030.3,1027.1,7,7,9.9,15.5,0.8
9.8,14.4,0.8,0.6,0,20,9,11,99,86,1028.5,1027.2,8,8,12.1,13.6,3.8
10.6,15.1,3.8,0.2,2.6,41,9,20,78,65,1028.2,1025.7,8,7,11.5,13.3,0
7.8,15.1,0,2.2,2.7,31,6,20,84,65,1025.9,1023.4,6,7,10.3,14.8,0
4.4,16.7,0,1.6,9,22,11,4,74,42,1025.2,1022.1,1,1,9.6,16.2,0
-0.2,15.5,0,1.4,9,28,4,11,86,42,1027.6,1027,1,1,4.9,14.5,0
4.3,14.5,0,2,3,30,6,13,76,70,1034.3,1031.7,7,7,7.9,13,0
7.4,16.3,0,1.2,NA,30,6,19,75,65,1031.4,1027.9,7,7,12.1,14.5,6.2
8.6,13.7,6.2,2.2,0,31,2,0,97,94,1027.8,1024.3,8,8,10.3,11.6,4.8
10.2,15,4.8,0.2,0.5,46,22,17,90,65,1022.9,1022.1,7,7,12.9,13.7,0.2
7.3,16.4,0.2,1.2,8.5,43,15,24,86,48,1023.7,1019.7,1,1,11.2,14.7,0.6
8.7,13,0.6,3.2,7.1,54,19,28,82,58,1013.7,1014.1,4,2,8.8,11.1,0
1,11.8,0,2.2,7.2,48,7,24,73,49,1025.7,1025.6,4,1,6.5,11,0
2.1,14.7,0,2.6,8.2,43,24,26,72,57,1029,1026.3,1,2,9,13.8,0
6.4,16.9,0,2.6,5.9,26,17,9,78,51,1027.8,1024.8,7,2,9.5,16,0
5.4,15.5,0,1.6,5.8,20,7,7,80,58,1028.6,1025.5,7,1,9.4,14.9,0
0.4,15.5,0,1,4.7,13,6,9,97,70,1026.7,1023.5,5,7,4,15,0
4,15.9,0,0.6,2,17,6,7,95,63,1022.5,1019.7,8,7,8.4,14.8,4.8
8.4,11.7,4.8,0.6,0,26,6,7,91,86,1021.2,1019.2,8,7,9.7,11.3,0.6
0.4,13.9,0.6,0.8,7.7,41,6,19,99,59,1023,1021,3,6,4.2,12.1,0
4.2,14,0,1.4,7.6,33,9,9,74,44,1026.4,1025.7,5,4,8.8,12.5,0
0.9,12.9,0,2,6.8,24,7,15,92,53,1025.1,1022.1,7,7,5.5,12.3,0
0.8,13,0,1.4,4.1,41,2,28,95,69,1028.2,1024.2,8,6,4.3,11.7,0
4.3,12.6,0,2,9,46,0,28,75,54,1026.3,1021.9,3,1,7.8,11.3,0
6.3,11.8,0,2.6,6.5,63,20,28,81,48,1018.7,1020.4,6,1,7,11.5,0
3.5,14.3,0,3.4,8.9,35,7,24,71,51,1027.8,1025,1,1,6.7,12.7,0
-1.5,14.8,0,2.2,8,15,6,9,90,41,1029.1,1026,4,3,2.1,14.5,0
1.2,16,0,1.4,6.1,31,6,22,84,38,1024.6,1020.9,7,6,6.5,14.6,0
0.5,15.4,0,2.4,6.4,70,22,28,53,68,1017.2,1010.2,1,7,9.7,12.9,2
5.3,11.7,2,3.6,5.6,78,33,33,73,56,1012.1,1012.3,3,1,6.9,11.1,0.2
6.6,13.1,0.2,2.8,8.2,61,31,30,62,53,1013.5,1014,5,1,10.6,12.3,0
-1.6,11.5,0,2.8,8.9,31,7,20,82,53,1024.3,1021.9,1,1,3,11.1,0
-3.1,12,0,1.8,3.9,35,4,13,80,52,1030.5,1030,1,6,5.9,10.2,0
-0.1,14.2,0,1.4,7,13,NA,2,81,55,1032.9,1028.9,1,2,4.7,12.6,0
-0.6,14,0,1.2,7.1,41,2,22,86,59,1030,1026.3,5,5,3.7,13.6,0.8
3,11.1,0.8,1.4,0.2,35,0,13,99,96,1024.4,1021.1,7,8,6.3,8.6,16.8
2.9,9.5,16.8,1.4,6.5,35,0,15,93,72,1021.6,1019.6,6,6,5.5,7.4,0
-1.3,8.8,0,0.8,2.8,39,9,15,95,68,1020,1016.8,7,6,1.8,8,0
1.8,8.7,0,1.8,1.2,65,31,35,83,85,1014.6,1010.5,7,7,6,6.9,1.6
2.9,8.4,1.6,1.4,7.7,59,20,31,76,66,1016.7,1018.2,7,3,5.5,7.1,0.2
-2.6,11.1,0.2,1.4,6.5,20,2,7,87,54,1027.1,1022.7,1,7,0.8,9.9,0
0.5,11,0,1,0.9,31,0,15,92,69,1024.4,1021.9,7,7,2.8,10.7,0
2.7,16.5,0,0.6,8.9,41,7,22,93,51,1021.8,1019,5,1,6.7,15.9,0
-1.7,13.6,0,1.8,5.2,28,NA,17,83,46,1023,1020.1,1,7,3.9,13.3,0.2
-0.9,12.8,0.2,2,1.9,17,6,9,99,62,1024.1,1020.8,7,7,2.7,12.1,0
-1.8,11.5,0,0.6,4.7,41,0,24,99,55,1019.7,1013.9,7,3,1.3,11,0
1.3,10.6,0,0.8,5.6,46,24,33,75,73,1010.8,1009.4,3,5,7.7,8.2,1.2
2.4,11.6,1.2,2.2,8.1,35,15,22,71,48,1016.7,1014.9,1,3,6,10.7,0.2
-1.1,11,0.2,1.8,0,41,0,6,92,87,1014.4,1009,7,8,2.4,8.7,19.2
2.3,11.6,19.2,1.8,7.5,54,26,31,78,56,1006.9,1010.3,7,3,7.6,11.2,0
-2.2,11.6,0,1.4,9.2,39,2,28,68,33,1025.7,1025.8,1,1,3.4,11,0
-3.5,11.2,0,1.6,7.7,26,6,11,76,48,1033.5,1031.1,1,5,3.6,10.1,0
-1,12.2,0,1.6,8.4,30,7,13,82,51,1032.2,1027.4,3,5,3.7,10.8,0
